Picked up JAVA_TOOL_OPTIONS: -Xmx2g
Opening log file:  /tmp/java.log.5020

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022b Update 2 (9.13.0.2105380) 64-bit (glnxa64)
                              October 26, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 32).
Loaded 446 seeds from grids/seeds/individual/y2023.mat
	scoring all of them using MC
	MCS total time 14.0 m + evolution total time 2.0 d = 2.0 d
	MCS runs 446 (1.0 m each) --> evolution runs 352 (4.0 h each)

seed     2 | Wombat(0,1.0 m,0.64) x  221 | MC estimate  65
seed    74 | Wombat(0,1.0 m,0.64) x  170 | MC estimate 130
seed   128 | Wombat(0,1.0 m,0.64) x  201 | MC estimate 135
seed   182 | Wombat(0,1.0 m,0.64) x   56 | MC estimate  99
seed   224 | Wombat(0,1.0 m,0.64) x  155 | MC estimate 116
seed    50 | Wombat(0,1.0 m,0.64) x  166 | MC estimate 112
seed   110 | Wombat(0,1.0 m,0.64) x   81 | MC estimate 114
seed   140 | Wombat(0,1.0 m,0.64) x    6 | MC estimate 135
seed   122 | Wombat(0,1.0 m,0.64) x   37 | MC estimate 126
seed    43 | Wombat(0,1.0 m,0.64) x  223 | MC estimate  66
seed    91 | Wombat(0,1.0 m,0.64) x  227 | MC estimate  66
seed    67 | Wombat(0,1.0 m,0.64) x  218 | MC estimate  66
seed    79 | Wombat(0,1.0 m,0.64) x  217 | MC estimate  66
seed   145 | Wombat(0,1.0 m,0.64) x  223 | MC estimate  67
seed   211 | Wombat(0,1.0 m,0.64) x  229 | MC estimate  69
seed    37 | Wombat(0,1.0 m,0.64) x  218 | MC estimate  66
seed   115 | Wombat(0,1.0 m,0.64) x   22 | MC estimate 140
seed   187 | Wombat(0,1.0 m,0.64) x    3 | MC estimate 115
seed   133 | Wombat(0,1.0 m,0.64) x   11 | MC estimate 144
seed   169 | Wombat(0,1.0 m,0.64) x    9 | MC estimate 122
seed    61 | Wombat(0,1.0 m,0.64) x  215 | MC estimate  66
seed   199 | Wombat(0,1.0 m,0.64) x  208 | MC estimate  69
seed   163 | Wombat(0,1.0 m,0.64) x  210 | MC estimate 134
seed   157 | Wombat(0,1.0 m,0.64) x   44 | MC estimate 148
seed    55 | Wombat(0,1.0 m,0.64) x  224 | MC estimate  66
seed    85 | Wombat(0,1.0 m,0.64) x   43 | MC estimate  98
seed   103 | Wombat(0,1.0 m,0.64) x    7 | MC estimate 128
seed   193 | Wombat(0,1.0 m,0.64) x  199 | MC estimate 138
seed   217 | Wombat(0,1.0 m,0.64) x  107 | MC estimate 113
seed   175 | Wombat(0,1.0 m,0.64) x  236 | MC estimate  68
seed   205 | Wombat(0,1.0 m,0.64) x  222 | MC estimate  79
seed    97 | Wombat(0,1.0 m,0.64) x   82 | MC estimate 112
seed   151 | Wombat(0,1.0 m,0.64) x  181 | MC estimate 105
seed   127 | Wombat(0,1.0 m,0.64) x  210 | MC estimate  67
seed   223 | Wombat(0,1.0 m,0.64) x  110 | MC estimate 130
seed   139 | Wombat(0,1.0 m,0.64) x    1 | MC estimate 133
seed   121 | Wombat(0,1.0 m,0.64) x  126 | MC estimate 124
seed    49 | Wombat(0,1.0 m,0.64) x   28 | MC estimate 101
seed    73 | Wombat(0,1.0 m,0.64) x   64 | MC estimate  98
seed   210 | Wombat(0,1.0 m,0.64) x  243 | MC estimate  69
seed    90 | Wombat(0,1.0 m,0.64) x   14 | MC estimate  97
seed    36 | Wombat(0,1.0 m,0.64) x  232 | MC estimate  66
seed   114 | Wombat(0,1.0 m,0.64) x    6 | MC estimate 106
seed    66 | Wombat(0,1.0 m,0.64) x   26 | MC estimate 104
seed   186 | Wombat(0,1.0 m,0.64) x    3 | MC estimate 112
seed    60 | Wombat(0,1.0 m,0.64) x  236 | MC estimate  66
seed    78 | Wombat(0,1.0 m,0.64) x   53 | MC estimate 110
seed   198 | Wombat(0,1.0 m,0.64) x    7 | MC estimate 117
seed   162 | Wombat(0,1.0 m,0.64) x   24 | MC estimate 152
seed    42 | Wombat(0,1.0 m,0.64) x   75 | MC estimate 123
seed    84 | Wombat(0,1.0 m,0.64) x  237 | MC estimate  66
seed   168 | Wombat(0,1.0 m,0.64) x   34 | MC estimate 138
seed   181 | Wombat(0,1.0 m,0.64) x   35 | MC estimate 113
seed   174 | Wombat(0,1.0 m,0.64) x  245 | MC estimate  68
seed   144 | Wombat(0,1.0 m,0.64) x  119 | MC estimate 112
seed   109 | Wombat(0,1.0 m,0.64) x   58 | MC estimate 142
seed   132 | Wombat(0,1.0 m,0.64) x    4 | MC estimate 136
seed   156 | Wombat(0,1.0 m,0.64) x   10 | MC estimate 147
seed    96 | Wombat(0,1.0 m,0.64) x  245 | MC estimate  66
seed   150 | Wombat(0,1.0 m,0.64) x  251 | MC estimate  68
seed   126 | Wombat(0,1.0 m,0.64) x   24 | MC estimate 110
seed   192 | Wombat(0,1.0 m,0.64) x   59 | MC estimate 114
seed   204 | Wombat(0,1.0 m,0.64) x   23 | MC estimate 127
seed    54 | Wombat(0,1.0 m,0.64) x  190 | MC estimate 115
seed   222 | Wombat(0,1.0 m,0.64) x  241 | MC estimate  69
seed   120 | Wombat(0,1.0 m,0.64) x  225 | MC estimate  66
seed    48 | Wombat(0,1.0 m,0.64) x  238 | MC estimate  66
seed    72 | Wombat(0,1.0 m,0.64) x  234 | MC estimate  66
seed   216 | Wombat(0,1.0 m,0.64) x  152 | MC estimate 137
seed   138 | Wombat(0,1.0 m,0.64) x    6 | MC estimate 123
seed   209 | Wombat(0,1.0 m,0.64) x  239 | MC estimate  69
seed    35 | Wombat(0,1.0 m,0.64) x  235 | MC estimate  66
seed    65 | Wombat(0,1.0 m,0.64) x  152 | MC estimate  88
seed   185 | Wombat(0,1.0 m,0.64) x    3 | MC estimate 117
seed   113 | Wombat(0,1.0 m,0.64) x   12 | MC estimate 118
seed    59 | Wombat(0,1.0 m,0.64) x  233 | MC estimate  66
seed   102 | Wombat(0,1.0 m,0.64) x  105 | MC estimate 111
seed    77 | Wombat(0,1.0 m,0.64) x  234 | MC estimate  66
seed   197 | Wombat(0,1.0 m,0.64) x    7 | MC estimate 130
seed    83 | Wombat(0,1.0 m,0.64) x  231 | MC estimate  66
seed   180 | Wombat(0,1.0 m,0.64) x  257 | MC estimate  68
seed   173 | Wombat(0,1.0 m,0.64) x  245 | MC estimate  68
seed    89 | Wombat(0,1.0 m,0.64) x  110 | MC estimate  97
seed   167 | Wombat(0,1.0 m,0.64) x   31 | MC estimate 131
seed    95 | Wombat(0,1.0 m,0.64) x  239 | MC estimate  66
seed   149 | Wombat(0,1.0 m,0.64) x  242 | MC estimate  68
seed   108 | Wombat(0,1.0 m,0.64) x   28 | MC estimate 129
seed   203 | Wombat(0,1.0 m,0.64) x  228 | MC estimate  92
seed   161 | Wombat(0,1.0 m,0.64) x  112 | MC estimate 132
seed   131 | Wombat(0,1.0 m,0.64) x   54 | MC estimate 118
seed   221 | Wombat(0,1.0 m,0.64) x    9 | MC estimate 150
seed   125 | Wombat(0,1.0 m,0.64) x   25 | MC estimate 121
seed   119 | Wombat(0,1.0 m,0.64) x  224 | MC estimate  66
seed    71 | Wombat(0,1.0 m,0.64) x  232 | MC estimate  66
seed    47 | Wombat(0,1.0 m,0.64) x  226 | MC estimate  66
seed   137 | Wombat(0,1.0 m,0.64) x    6 | MC estimate 122
seed   191 | Wombat(0,1.0 m,0.64) x  120 | MC estimate 139
seed   208 | Wombat(0,1.0 m,0.64) x  240 | MC estimate  69
seed    41 | Wombat(0,1.0 m,0.64) x  186 | MC estimate 111
seed   215 | Wombat(0,1.0 m,0.64) x  190 | MC estimate 132
seed    64 | Wombat(0,1.0 m,0.64) x  215 | MC estimate  66
seed   184 | Wombat(0,1.0 m,0.64) x    3 | MC estimate 111
seed   155 | Wombat(0,1.0 m,0.64) x   25 | MC estimate 123
seed    34 | Wombat(0,1.0 m,0.64) x   20 | MC estimate 102
seed    76 | Wombat(0,1.0 m,0.64) x  229 | MC estimate  66
seed   101 | Wombat(0,1.0 m,0.64) x    9 | MC estimate 109
seed   196 | Wombat(0,1.0 m,0.64) x   75 | MC estimate 144
seed   179 | Wombat(0,1.0 m,0.64) x    6 | MC estimate 113
seed   143 | Wombat(0,1.0 m,0.64) x   12 | MC estimate 130
seed   112 | Wombat(0,1.0 m,0.64) x    6 | MC estimate 131
seed   172 | Wombat(0,1.0 m,0.64) x    5 | MC estimate 101
seed    88 | Wombat(0,1.0 m,0.64) x  231 | MC estimate  66
seed    53 | Wombat(0,1.0 m,0.64) x  187 | MC estimate  95
seed    94 | Wombat(0,1.0 m,0.64) x  238 | MC estimate  66
seed   148 | Wombat(0,1.0 m,0.64) x  243 | MC estimate  68
seed   107 | Wombat(0,1.0 m,0.64) x    2 | MC estimate 118
seed   202 | Wombat(0,1.0 m,0.64) x   78 | MC estimate 137
seed   130 | Wombat(0,1.0 m,0.64) x   21 | MC estimate 125
seed   220 | Wombat(0,1.0 m,0.64) x  103 | MC estimate 122
seed   160 | Wombat(0,1.0 m,0.64) x   11 | MC estimate 135
seed   118 | Wombat(0,1.0 m,0.64) x  198 | MC estimate  66
seed   124 | Wombat(0,1.0 m,0.64) x   22 | MC estimate 133
seed    58 | Wombat(0,1.0 m,0.64) x  163 | MC estimate 112
seed   207 | Wombat(0,1.0 m,0.64) x  227 | MC estimate  69
seed   136 | Wombat(0,1.0 m,0.64) x   29 | MC estimate 118
seed   166 | Wombat(0,1.0 m,0.64) x   77 | MC estimate 136
seed    40 | Wombat(0,1.0 m,0.64) x  226 | MC estimate  66
seed    63 | Wombat(0,1.0 m,0.64) x  215 | MC estimate  66
seed   214 | Wombat(0,1.0 m,0.64) x  229 | MC estimate  69
seed   183 | Wombat(0,1.0 m,0.64) x    2 | MC estimate 113
seed    82 | Wombat(0,1.0 m,0.64) x  195 | MC estimate  97
seed    75 | Wombat(0,1.0 m,0.64) x  225 | MC estimate  66
seed   154 | Wombat(0,1.0 m,0.64) x   11 | MC estimate 129
seed    70 | Wombat(0,1.0 m,0.64) x   81 | MC estimate 129
seed   100 | Wombat(0,1.0 m,0.64) x  215 | MC estimate  66
seed   195 | Wombat(0,1.0 m,0.64) x   56 | MC estimate 148
seed    33 | Wombat(0,1.0 m,0.64) x   19 | MC estimate 118
seed    46 | Wombat(0,1.0 m,0.64) x  105 | MC estimate 124
seed   111 | Wombat(0,1.0 m,0.64) x    8 | MC estimate 138
seed   142 | Wombat(0,1.0 m,0.64) x   17 | MC estimate 110
seed    87 | Wombat(0,1.0 m,0.64) x  217 | MC estimate  66
seed    52 | Wombat(0,1.0 m,0.64) x  215 | MC estimate  66
seed   147 | Wombat(0,1.0 m,0.64) x  230 | MC estimate  68
seed    93 | Wombat(0,1.0 m,0.64) x  209 | MC estimate 119
seed   106 | Wombat(0,1.0 m,0.64) x    6 | MC estimate 113
seed   201 | Wombat(0,1.0 m,0.64) x  208 | MC estimate 126
seed   159 | Wombat(0,1.0 m,0.64) x    1 | MC estimate 123
seed   129 | Wombat(0,1.0 m,0.64) x    8 | MC estimate 106
seed   190 | Wombat(0,1.0 m,0.64) x   36 | MC estimate 139
seed   117 | Wombat(0,1.0 m,0.64) x  201 | MC estimate  66
seed   123 | Wombat(0,1.0 m,0.64) x  186 | MC estimate 135
seed    57 | Wombat(0,1.0 m,0.64) x  119 | MC estimate 100
seed   219 | Wombat(0,1.0 m,0.64) x   53 | MC estimate 116
seed   171 | Wombat(0,1.0 m,0.64) x  112 | MC estimate 122
seed   135 | Wombat(0,1.0 m,0.64) x    3 | MC estimate 110
seed    39 | Wombat(0,1.0 m,0.64) x  220 | MC estimate  66
seed   213 | Wombat(0,1.0 m,0.64) x  226 | MC estimate  69
seed   165 | Wombat(0,1.0 m,0.64) x   17 | MC estimate 119
seed   299 | Wombat(0,1.0 m,0.64) x  207 | MC estimate  70
seed   287 | Wombat(0,1.0 m,0.64) x  108 | MC estimate 129
seed    81 | Wombat(0,1.0 m,0.64) x  221 | MC estimate  66
seed   275 | Wombat(0,1.0 m,0.64) x  221 | MC estimate  70
seed    99 | Wombat(0,1.0 m,0.64) x  197 | MC estimate  66
seed   178 | Wombat(0,1.0 m,0.64) x  204 | MC estimate 117
seed    69 | Wombat(0,1.0 m,0.64) x  219 | MC estimate  66
seed   302 | Wombat(0,1.0 m,0.64) x  211 | MC estimate  70
seed   293 | Wombat(0,1.0 m,0.64) x  218 | MC estimate  70
seed   251 | Wombat(0,1.0 m,0.64) x   34 | MC estimate 120
seed   242 | Wombat(0,1.0 m,0.64) x  221 | MC estimate  69
seed   248 | Wombat(0,1.0 m,0.64) x  231 | MC estimate  69
seed    45 | Wombat(0,1.0 m,0.64) x   41 | MC estimate  95
seed    51 | Wombat(0,1.0 m,0.64) x  220 | MC estimate  66
seed   233 | Wombat(0,1.0 m,0.64) x  228 | MC estimate  69
seed   141 | Wombat(0,1.0 m,0.64) x   35 | MC estimate 118
seed   153 | Wombat(0,1.0 m,0.64) x   91 | MC estimate 137
seed   281 | Wombat(0,1.0 m,0.64) x  220 | MC estimate  70
seed   257 | Wombat(0,1.0 m,0.64) x  227 | MC estimate  69
seed   290 | Wombat(0,1.0 m,0.64) x    1 | MC estimate 123
seed   189 | Wombat(0,1.0 m,0.64) x    3 | MC estimate 113
seed   269 | Wombat(0,1.0 m,0.64) x    1 | MC estimate 117
seed   320 | Wombat(0,1.0 m,0.64) x  214 | MC estimate  70
seed   236 | Wombat(0,1.0 m,0.64) x   78 | MC estimate 118
seed   311 | Wombat(0,1.0 m,0.64) x  170 | MC estimate 148
seed   245 | Wombat(0,1.0 m,0.64) x  117 | MC estimate 124
seed   254 | Wombat(0,1.0 m,0.64) x  219 | MC estimate  69
seed   260 | Wombat(0,1.0 m,0.64) x  222 | MC estimate  69
seed   227 | Wombat(0,1.0 m,0.64) x  225 | MC estimate  69
seed   105 | Wombat(0,1.0 m,0.64) x   19 | MC estimate 116
seed   272 | Wombat(0,1.0 m,0.64) x  213 | MC estimate  69
seed   298 | Wombat(0,1.0 m,0.64) x  212 | MC estimate  70
seed   274 | Wombat(0,1.0 m,0.64) x  220 | MC estimate  70
seed   177 | Wombat(0,1.0 m,0.64) x  209 | MC estimate 127
seed   230 | Wombat(0,1.0 m,0.64) x  225 | MC estimate  69
seed   239 | Wombat(0,1.0 m,0.64) x  214 | MC estimate  69
seed   301 | Wombat(0,1.0 m,0.64) x  224 | MC estimate  70
seed   286 | Wombat(0,1.0 m,0.64) x   36 | MC estimate 121
seed   250 | Wombat(0,1.0 m,0.64) x  239 | MC estimate  69
seed   241 | Wombat(0,1.0 m,0.64) x  235 | MC estimate  69
seed   247 | Wombat(0,1.0 m,0.64) x   40 | MC estimate 134
seed   263 | Wombat(0,1.0 m,0.64) x  244 | MC estimate  69
seed   232 | Wombat(0,1.0 m,0.64) x  233 | MC estimate  69
seed   292 | Wombat(0,1.0 m,0.64) x   25 | MC estimate 123
seed   278 | Wombat(0,1.0 m,0.64) x  250 | MC estimate  70
seed   256 | Wombat(0,1.0 m,0.64) x  262 | MC estimate  69
seed   284 | Wombat(0,1.0 m,0.64) x   76 | MC estimate 136
seed   266 | Wombat(0,1.0 m,0.64) x  157 | MC estimate 124
seed   319 | Wombat(0,1.0 m,0.64) x   23 | MC estimate 122
seed   305 | Wombat(0,1.0 m,0.64) x   58 | MC estimate 124
seed   310 | Wombat(0,1.0 m,0.64) x   16 | MC estimate 133
seed   244 | Wombat(0,1.0 m,0.64) x    9 | MC estimate 125
seed   259 | Wombat(0,1.0 m,0.64) x  273 | MC estimate  69
seed   314 | Wombat(0,1.0 m,0.64) x  103 | MC estimate 134
seed   308 | Wombat(0,1.0 m,0.64) x   15 | MC estimate 110
seed   271 | Wombat(0,1.0 m,0.64) x  233 | MC estimate  69
seed   297 | Wombat(0,1.0 m,0.64) x  254 | MC estimate  70
seed   280 | Wombat(0,1.0 m,0.64) x   92 | MC estimate 129
seed   235 | Wombat(0,1.0 m,0.64) x   67 | MC estimate 129
seed   226 | Wombat(0,1.0 m,0.64) x   20 | MC estimate 130
seed   273 | Wombat(0,1.0 m,0.64) x  248 | MC estimate  70
seed   238 | Wombat(0,1.0 m,0.64) x  211 | MC estimate 127
seed   300 | Wombat(0,1.0 m,0.64) x  262 | MC estimate  70
seed   317 | Wombat(0,1.0 m,0.64) x   24 | MC estimate 138
seed   229 | Wombat(0,1.0 m,0.64) x   23 | MC estimate 125
seed   285 | Wombat(0,1.0 m,0.64) x  207 | MC estimate 135
seed   253 | Wombat(0,1.0 m,0.64) x    8 | MC estimate 135
seed   249 | Wombat(0,1.0 m,0.64) x   22 | MC estimate 128
seed   240 | Wombat(0,1.0 m,0.64) x  264 | MC estimate  69
seed   296 | Wombat(0,1.0 m,0.64) x   76 | MC estimate 119
seed   262 | Wombat(0,1.0 m,0.64) x  268 | MC estimate  69
seed   231 | Wombat(0,1.0 m,0.64) x  253 | MC estimate 139
seed   289 | Wombat(0,1.0 m,0.64) x   45 | MC estimate 122
seed   291 | Wombat(0,1.0 m,0.64) x    4 | MC estimate 126
seed   277 | Wombat(0,1.0 m,0.64) x  265 | MC estimate  70
seed   268 | Wombat(0,1.0 m,0.64) x    2 | MC estimate 127
seed   304 | Wombat(0,1.0 m,0.64) x  179 | MC estimate 126
seed   309 | Wombat(0,1.0 m,0.64) x   49 | MC estimate 110
seed   318 | Wombat(0,1.0 m,0.64) x   65 | MC estimate 137
seed   258 | Wombat(0,1.0 m,0.64) x  251 | MC estimate  69
seed   326 | Wombat(0,1.0 m,0.64) x  226 | MC estimate  70
seed   279 | Wombat(0,1.0 m,0.64) x  244 | MC estimate  70
seed   234 | Wombat(0,1.0 m,0.64) x  246 | MC estimate  69
seed   270 | Wombat(0,1.0 m,0.64) x    2 | MC estimate 127
seed   225 | Wombat(0,1.0 m,0.64) x  240 | MC estimate  84
seed   237 | Wombat(0,1.0 m,0.64) x  232 | MC estimate  69
seed   316 | Wombat(0,1.0 m,0.64) x  232 | MC estimate  94
seed   313 | Wombat(0,1.0 m,0.64) x   21 | MC estimate 130
seed   228 | Wombat(0,1.0 m,0.64) x  242 | MC estimate  69
seed   328 | Wombat(0,1.0 m,0.64) x   37 | MC estimate 134
seed   322 | Wombat(0,1.0 m,0.64) x    4 | MC estimate 111
seed   252 | Wombat(0,1.0 m,0.64) x  229 | MC estimate  79
seed   246 | Wombat(0,1.0 m,0.64) x  137 | MC estimate 126
seed   336 | Wombat(0,1.0 m,0.64) x  238 | MC estimate  70
seed   295 | Wombat(0,1.0 m,0.64) x  242 | MC estimate  70
seed   261 | Wombat(0,1.0 m,0.64) x  237 | MC estimate 126
seed   340 | Wombat(0,1.0 m,0.64) x  157 | MC estimate 148
seed   288 | Wombat(0,1.0 m,0.64) x  241 | MC estimate  70
seed   307 | Wombat(0,1.0 m,0.64) x  158 | MC estimate 108
seed   276 | Wombat(0,1.0 m,0.64) x  236 | MC estimate  70
seed   283 | Wombat(0,1.0 m,0.64) x   35 | MC estimate 122
seed   265 | Wombat(0,1.0 m,0.64) x   17 | MC estimate 131
seed   255 | Wombat(0,1.0 m,0.64) x    3 | MC estimate 132
seed   330 | Wombat(0,1.0 m,0.64) x   24 | MC estimate 126
seed   267 | Wombat(0,1.0 m,0.64) x   15 | MC estimate 126
seed   243 | Wombat(0,1.0 m,0.64) x  228 | MC estimate 125
seed   303 | Wombat(0,1.0 m,0.64) x  231 | MC estimate  70
seed   332 | Wombat(0,1.0 m,0.64) x    3 | MC estimate 120
seed   352 | Wombat(0,1.0 m,0.64) x  232 | MC estimate  71
seed   350 | Wombat(0,1.0 m,0.64) x  242 | MC estimate  71
seed   358 | Wombat(0,1.0 m,0.64) x  237 | MC estimate  71
seed   324 | Wombat(0,1.0 m,0.64) x  200 | MC estimate 120
seed   338 | Wombat(0,1.0 m,0.64) x  233 | MC estimate  70
seed   342 | Wombat(0,1.0 m,0.64) x    7 | MC estimate 120
seed   364 | Wombat(0,1.0 m,0.64) x  237 | MC estimate  71
seed   360 | Wombat(0,1.0 m,0.64) x  247 | MC estimate  71
seed   368 | Wombat(0,1.0 m,0.64) x   49 | MC estimate 128
seed   312 | Wombat(0,1.0 m,0.64) x  213 | MC estimate 143
seed   370 | Wombat(0,1.0 m,0.64) x   10 | MC estimate 100
seed   354 | Wombat(0,1.0 m,0.64) x  254 | MC estimate  71
seed   334 | Wombat(0,1.0 m,0.64) x    5 | MC estimate 112
seed   335 | Wombat(0,1.0 m,0.64) x  253 | MC estimate  70
seed   315 | Wombat(0,1.0 m,0.64) x   20 | MC estimate 125
seed   327 | Wombat(0,1.0 m,0.64) x  220 | MC estimate 132
seed   294 | Wombat(0,1.0 m,0.64) x  242 | MC estimate  70
seed   339 | Wombat(0,1.0 m,0.64) x  249 | MC estimate  70
seed   346 | Wombat(0,1.0 m,0.64) x  245 | MC estimate  71
seed   374 | Wombat(0,1.0 m,0.64) x   15 | MC estimate 129
seed   376 | Wombat(0,1.0 m,0.64) x  249 | MC estimate  71
seed   282 | Wombat(0,1.0 m,0.64) x  251 | MC estimate  70
seed   325 | Wombat(0,1.0 m,0.64) x   17 | MC estimate 140
seed   321 | Wombat(0,1.0 m,0.64) x   80 | MC estimate 123
seed   348 | Wombat(0,1.0 m,0.64) x  264 | MC estimate  71
seed   356 | Wombat(0,1.0 m,0.64) x  261 | MC estimate  71
seed   378 | Wombat(0,1.0 m,0.64) x  254 | MC estimate  75
seed   331 | Wombat(0,1.0 m,0.64) x  171 | MC estimate 134
seed   306 | Wombat(0,1.0 m,0.64) x  208 | MC estimate 114
seed   351 | Wombat(0,1.0 m,0.64) x  250 | MC estimate  71
seed   323 | Wombat(0,1.0 m,0.64) x  248 | MC estimate  70
seed   349 | Wombat(0,1.0 m,0.64) x  266 | MC estimate  71
seed   357 | Wombat(0,1.0 m,0.64) x  260 | MC estimate  71
seed   337 | Wombat(0,1.0 m,0.64) x  267 | MC estimate  70
seed   344 | Wombat(0,1.0 m,0.64) x   64 | MC estimate 148
seed   329 | Wombat(0,1.0 m,0.64) x   61 | MC estimate 129
seed   359 | Wombat(0,1.0 m,0.64) x  279 | MC estimate  71
seed   363 | Wombat(0,1.0 m,0.64) x  272 | MC estimate  71
seed   341 | Wombat(0,1.0 m,0.64) x  119 | MC estimate 151
seed   369 | Wombat(0,1.0 m,0.64) x  144 | MC estimate 129
seed   353 | Wombat(0,1.0 m,0.64) x  280 | MC estimate  71
seed   390 | Wombat(0,1.0 m,0.64) x    2 | MC estimate 118
seed   382 | Wombat(0,1.0 m,0.64) x  285 | MC estimate  71
seed   372 | Wombat(0,1.0 m,0.64) x   56 | MC estimate 122
seed   386 | Wombat(0,1.0 m,0.64) x  287 | MC estimate  71
seed   384 | Wombat(0,1.0 m,0.64) x  266 | MC estimate  71
seed   367 | Wombat(0,1.0 m,0.64) x   78 | MC estimate 124
seed   373 | Wombat(0,1.0 m,0.64) x  115 | MC estimate 145
seed   264 | Wombat(0,1.0 m,0.64) x  115 | MC estimate 129
