Picked up JAVA_TOOL_OPTIONS: -Xmx2g
Opening log file:  /tmp/java.log.57051

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022b Update 2 (9.13.0.2105380) 64-bit (glnxa64)
                              October 26, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 32).
Loaded 446 seeds from grids/seeds/individual/y2023.mat
	scoring all of them using MC
	MCS total time 14.0 m + evolution total time 2.0 d = 2.0 d
	MCS runs 446 (1.0 m each) --> evolution runs 352 (4.0 h each)

seed    55 | Wombat(0,1.0 m,0.64) x  221 | MC estimate  66
seed   151 | Wombat(0,1.0 m,0.64) x  181 | MC estimate 105
seed   193 | Wombat(0,1.0 m,0.64) x  196 | MC estimate 138
seed   175 | Wombat(0,1.0 m,0.64) x  231 | MC estimate  68
seed   205 | Wombat(0,1.0 m,0.64) x  238 | MC estimate  79
seed    97 | Wombat(0,1.0 m,0.64) x   82 | MC estimate 112
seed   127 | Wombat(0,1.0 m,0.64) x  205 | MC estimate  67
seed   103 | Wombat(0,1.0 m,0.64) x    4 | MC estimate 116
seed   217 | Wombat(0,1.0 m,0.64) x  143 | MC estimate 125
seed   163 | Wombat(0,1.0 m,0.64) x   91 | MC estimate 144
seed   121 | Wombat(0,1.0 m,0.64) x  126 | MC estimate 124
seed    49 | Wombat(0,1.0 m,0.64) x   28 | MC estimate 101
seed   187 | Wombat(0,1.0 m,0.64) x   95 | MC estimate 136
seed    42 | Wombat(0,1.0 m,0.64) x    2 | MC estimate  97
seed    66 | Wombat(0,1.0 m,0.64) x    3 | MC estimate  97
seed    78 | Wombat(0,1.0 m,0.64) x    1 | MC estimate 112
seed    73 | Wombat(0,1.0 m,0.64) x  214 | MC estimate 111
seed    90 | Wombat(0,1.0 m,0.64) x   13 | MC estimate 117
seed   210 | Wombat(0,1.0 m,0.64) x  244 | MC estimate  69
seed    36 | Wombat(0,1.0 m,0.64) x  236 | MC estimate  66
seed   222 | Wombat(0,1.0 m,0.64) x  236 | MC estimate  69
seed    60 | Wombat(0,1.0 m,0.64) x  240 | MC estimate  66
seed    84 | Wombat(0,1.0 m,0.64) x  239 | MC estimate  66
seed    54 | Wombat(0,1.0 m,0.64) x   12 | MC estimate 101
seed   181 | Wombat(0,1.0 m,0.64) x   35 | MC estimate 113
seed   168 | Wombat(0,1.0 m,0.64) x   55 | MC estimate 133
seed   150 | Wombat(0,1.0 m,0.64) x  249 | MC estimate  68
seed   174 | Wombat(0,1.0 m,0.64) x  246 | MC estimate  68
seed   109 | Wombat(0,1.0 m,0.64) x   58 | MC estimate 142
seed   156 | Wombat(0,1.0 m,0.64) x   10 | MC estimate 147
seed   192 | Wombat(0,1.0 m,0.64) x   96 | MC estimate 134
seed    96 | Wombat(0,1.0 m,0.64) x  238 | MC estimate  66
seed   204 | Wombat(0,1.0 m,0.64) x   12 | MC estimate 131
seed   132 | Wombat(0,1.0 m,0.64) x    4 | MC estimate 136
seed   144 | Wombat(0,1.0 m,0.64) x  123 | MC estimate 140
seed   126 | Wombat(0,1.0 m,0.64) x   25 | MC estimate 110
seed   114 | Wombat(0,1.0 m,0.64) x   17 | MC estimate 134
seed   120 | Wombat(0,1.0 m,0.64) x  231 | MC estimate  66
seed   138 | Wombat(0,1.0 m,0.64) x   15 | MC estimate 132
seed   198 | Wombat(0,1.0 m,0.64) x   10 | MC estimate 140
seed   216 | Wombat(0,1.0 m,0.64) x   71 | MC estimate 145
seed    48 | Wombat(0,1.0 m,0.64) x  233 | MC estimate  66
seed   162 | Wombat(0,1.0 m,0.64) x   15 | MC estimate 128
seed   186 | Wombat(0,1.0 m,0.64) x    4 | MC estimate 112
seed   102 | Wombat(0,1.0 m,0.64) x   62 | MC estimate 103
seed    65 | Wombat(0,1.0 m,0.64) x  223 | MC estimate  66
seed    77 | Wombat(0,1.0 m,0.64) x  229 | MC estimate  66
seed    72 | Wombat(0,1.0 m,0.64) x  221 | MC estimate  66
seed   209 | Wombat(0,1.0 m,0.64) x  239 | MC estimate  69
seed    89 | Wombat(0,1.0 m,0.64) x  232 | MC estimate  66
seed    35 | Wombat(0,1.0 m,0.64) x  227 | MC estimate  66
seed    41 | Wombat(0,1.0 m,0.64) x   46 | MC estimate 118
seed    59 | Wombat(0,1.0 m,0.64) x  222 | MC estimate  66
seed    83 | Wombat(0,1.0 m,0.64) x  226 | MC estimate  66
seed    53 | Wombat(0,1.0 m,0.64) x  226 | MC estimate  66
seed   221 | Wombat(0,1.0 m,0.64) x   49 | MC estimate 127
seed   180 | Wombat(0,1.0 m,0.64) x  232 | MC estimate  68
seed   167 | Wombat(0,1.0 m,0.64) x    3 | MC estimate 136
seed   149 | Wombat(0,1.0 m,0.64) x  221 | MC estimate  68
seed   173 | Wombat(0,1.0 m,0.64) x  219 | MC estimate  68
seed    95 | Wombat(0,1.0 m,0.64) x  212 | MC estimate  66
seed   203 | Wombat(0,1.0 m,0.64) x  216 | MC estimate  92
seed   108 | Wombat(0,1.0 m,0.64) x   28 | MC estimate 129
seed   143 | Wombat(0,1.0 m,0.64) x   27 | MC estimate 114
seed   125 | Wombat(0,1.0 m,0.64) x   25 | MC estimate 121
seed   131 | Wombat(0,1.0 m,0.64) x   54 | MC estimate 118
seed   119 | Wombat(0,1.0 m,0.64) x  208 | MC estimate  66
seed    47 | Wombat(0,1.0 m,0.64) x  212 | MC estimate  66
seed   215 | Wombat(0,1.0 m,0.64) x  167 | MC estimate 140
seed   191 | Wombat(0,1.0 m,0.64) x   41 | MC estimate 133
seed    64 | Wombat(0,1.0 m,0.64) x  227 | MC estimate  66
seed    76 | Wombat(0,1.0 m,0.64) x  218 | MC estimate  66
seed   197 | Wombat(0,1.0 m,0.64) x   30 | MC estimate 131
seed    71 | Wombat(0,1.0 m,0.64) x  216 | MC estimate  66
seed   208 | Wombat(0,1.0 m,0.64) x  228 | MC estimate  69
seed    88 | Wombat(0,1.0 m,0.64) x  214 | MC estimate  66
seed   101 | Wombat(0,1.0 m,0.64) x   33 | MC estimate 104
seed   161 | Wombat(0,1.0 m,0.64) x   37 | MC estimate 143
seed   155 | Wombat(0,1.0 m,0.64) x   25 | MC estimate 123
seed    40 | Wombat(0,1.0 m,0.64) x  223 | MC estimate  66
seed   113 | Wombat(0,1.0 m,0.64) x   67 | MC estimate 141
seed    82 | Wombat(0,1.0 m,0.64) x  212 | MC estimate  66
seed   185 | Wombat(0,1.0 m,0.64) x   23 | MC estimate 119
seed    52 | Wombat(0,1.0 m,0.64) x  219 | MC estimate  66
seed   179 | Wombat(0,1.0 m,0.64) x  142 | MC estimate 114
seed    34 | Wombat(0,1.0 m,0.64) x   82 | MC estimate 102
seed   148 | Wombat(0,1.0 m,0.64) x  234 | MC estimate  68
seed   166 | Wombat(0,1.0 m,0.64) x   23 | MC estimate 135
seed   172 | Wombat(0,1.0 m,0.64) x  223 | MC estimate  68
seed    94 | Wombat(0,1.0 m,0.64) x  214 | MC estimate  66
seed   137 | Wombat(0,1.0 m,0.64) x   39 | MC estimate 132
seed   202 | Wombat(0,1.0 m,0.64) x   67 | MC estimate 137
seed    58 | Wombat(0,1.0 m,0.64) x   85 | MC estimate  94
seed   107 | Wombat(0,1.0 m,0.64) x    3 | MC estimate 118
seed   142 | Wombat(0,1.0 m,0.64) x    4 | MC estimate 130
seed   130 | Wombat(0,1.0 m,0.64) x   24 | MC estimate 125
seed   118 | Wombat(0,1.0 m,0.64) x  206 | MC estimate  66
