Picked up JAVA_TOOL_OPTIONS: -Xmx2g
Opening log file:  /tmp/java.log.7542

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022b Update 2 (9.13.0.2105380) 64-bit (glnxa64)
                              October 26, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 32).
Loaded 446 seeds from grids/seeds/individual/y2023.mat
	scoring all of them using MC
	MCS total time 14.0 m + evolution total time 2.0 d = 2.0 d
	MCS runs 446 (1.0 m each) --> evolution runs 352 (4.0 h each)

seed     9 | Wombat(0,1.0 m,0.64) x   33 | MC estimate  98
seed    21 | Wombat(0,1.0 m,0.64) x   29 | MC estimate  99
seed     4 | Wombat(0,1.0 m,0.64) x   68 | MC estimate 104
seed    13 | Wombat(0,1.0 m,0.64) x   99 | MC estimate 101
seed    16 | Wombat(0,1.0 m,0.64) x  132 | MC estimate  94
seed    44 | Wombat(0,1.0 m,0.64) x  254 | MC estimate  66
seed    68 | Wombat(0,1.0 m,0.64) x  259 | MC estimate  66
seed    80 | Wombat(0,1.0 m,0.64) x  245 | MC estimate  66
seed    92 | Wombat(0,1.0 m,0.64) x  250 | MC estimate  66
seed   218 | Wombat(0,1.0 m,0.64) x    3 | MC estimate 114
seed    38 | Wombat(0,1.0 m,0.64) x    4 | MC estimate 103
seed   212 | Wombat(0,1.0 m,0.64) x  229 | MC estimate  69
seed   134 | Wombat(0,1.0 m,0.64) x    4 | MC estimate 127
seed   188 | Wombat(0,1.0 m,0.64) x   20 | MC estimate 138
seed    50 | Wombat(0,1.0 m,0.64) x   49 | MC estimate 111
seed    62 | Wombat(0,1.0 m,0.64) x  246 | MC estimate  66
seed   200 | Wombat(0,1.0 m,0.64) x   12 | MC estimate 118
seed    86 | Wombat(0,1.0 m,0.64) x  221 | MC estimate  66
seed    98 | Wombat(0,1.0 m,0.64) x   53 | MC estimate 119
seed   158 | Wombat(0,1.0 m,0.64) x   32 | MC estimate 130
seed    56 | Wombat(0,1.0 m,0.64) x  260 | MC estimate  66
seed   152 | Wombat(0,1.0 m,0.64) x  119 | MC estimate 113
seed   194 | Wombat(0,1.0 m,0.64) x   84 | MC estimate 132
