Picked up JAVA_TOOL_OPTIONS: -Xmx2g
Opening log file:  /tmp/java.log.1404

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022b Update 2 (9.13.0.2105380) 64-bit (glnxa64)
                              October 26, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 32).
Loaded 446 seeds from grids/seeds/individual/y2023.mat
	scoring all of them using MC
	MCS total time 14.0 m + evolution total time 2.0 d = 2.0 d
	MCS runs 446 (1.0 m each) --> evolution runs 352 (4.0 h each)

seed   223 | Wombat(0,1.0 m,0.64) x  148 | MC estimate 137
seed    73 | Wombat(0,1.0 m,0.64) x  152 | MC estimate  97
seed   205 | Wombat(0,1.0 m,0.64) x  316 | MC estimate  79
seed   127 | Wombat(0,1.0 m,0.64) x  287 | MC estimate  67
seed   169 | Wombat(0,1.0 m,0.64) x    9 | MC estimate 113
seed   163 | Wombat(0,1.0 m,0.64) x  251 | MC estimate 141
seed   193 | Wombat(0,1.0 m,0.64) x  201 | MC estimate 143
seed    85 | Wombat(0,1.0 m,0.64) x  207 | MC estimate 123
seed    49 | Wombat(0,1.0 m,0.64) x  240 | MC estimate 127
seed   187 | Wombat(0,1.0 m,0.64) x  116 | MC estimate 136
seed   145 | Wombat(0,1.0 m,0.64) x  342 | MC estimate  67
seed   103 | Wombat(0,1.0 m,0.64) x    5 | MC estimate 148
seed    42 | Wombat(0,1.0 m,0.64) x    5 | MC estimate  90
seed    36 | Wombat(0,1.0 m,0.64) x  305 | MC estimate  66
seed    78 | Wombat(0,1.0 m,0.64) x   30 | MC estimate 119
seed   150 | Wombat(0,1.0 m,0.64) x  336 | MC estimate  68
seed    61 | Wombat(0,1.0 m,0.64) x  316 | MC estimate  66
seed   157 | Wombat(0,1.0 m,0.64) x   45 | MC estimate 148
seed    66 | Wombat(0,1.0 m,0.64) x   73 | MC estimate 120
seed   181 | Wombat(0,1.0 m,0.64) x   35 | MC estimate 113
seed    54 | Wombat(0,1.0 m,0.64) x   12 | MC estimate 117
seed   109 | Wombat(0,1.0 m,0.64) x   58 | MC estimate 142
seed   138 | Wombat(0,1.0 m,0.64) x    4 | MC estimate 105
seed   174 | Wombat(0,1.0 m,0.64) x  302 | MC estimate 100
seed    90 | Wombat(0,1.0 m,0.64) x  131 | MC estimate 105
seed   114 | Wombat(0,1.0 m,0.64) x    1 | MC estimate 107
seed   198 | Wombat(0,1.0 m,0.64) x   46 | MC estimate 150
seed   216 | Wombat(0,1.0 m,0.64) x   76 | MC estimate 143
seed    96 | Wombat(0,1.0 m,0.64) x  289 | MC estimate  66
seed   120 | Wombat(0,1.0 m,0.64) x  287 | MC estimate  66
seed   222 | Wombat(0,1.0 m,0.64) x  263 | MC estimate  69
seed    72 | Wombat(0,1.0 m,0.64) x  260 | MC estimate  66
seed   210 | Wombat(0,1.0 m,0.64) x  166 | MC estimate 116
seed   132 | Wombat(0,1.0 m,0.64) x    4 | MC estimate 136
seed   126 | Wombat(0,1.0 m,0.64) x   10 | MC estimate 118
seed    84 | Wombat(0,1.0 m,0.64) x  286 | MC estimate  66
seed   162 | Wombat(0,1.0 m,0.64) x   50 | MC estimate 142
seed    48 | Wombat(0,1.0 m,0.64) x  268 | MC estimate  66
seed   186 | Wombat(0,1.0 m,0.64) x    5 | MC estimate  84
seed   192 | Wombat(0,1.0 m,0.64) x   85 | MC estimate 127
seed   102 | Wombat(0,1.0 m,0.64) x    6 | MC estimate 100
seed   144 | Wombat(0,1.0 m,0.64) x  233 | MC estimate 141
seed    35 | Wombat(0,1.0 m,0.64) x  255 | MC estimate  66
seed   204 | Wombat(0,1.0 m,0.64) x   12 | MC estimate 124
seed    60 | Wombat(0,1.0 m,0.64) x  260 | MC estimate  66
seed    65 | Wombat(0,1.0 m,0.64) x   12 | MC estimate  99
seed   180 | Wombat(0,1.0 m,0.64) x  288 | MC estimate  68
seed    53 | Wombat(0,1.0 m,0.64) x  257 | MC estimate  66
seed   173 | Wombat(0,1.0 m,0.64) x  267 | MC estimate  68
seed   137 | Wombat(0,1.0 m,0.64) x    6 | MC estimate 118
seed    41 | Wombat(0,1.0 m,0.64) x  105 | MC estimate 109
seed    89 | Wombat(0,1.0 m,0.64) x  261 | MC estimate  66
seed   108 | Wombat(0,1.0 m,0.64) x   28 | MC estimate 129
seed   197 | Wombat(0,1.0 m,0.64) x  212 | MC estimate 144
seed   156 | Wombat(0,1.0 m,0.64) x   10 | MC estimate 147
seed    77 | Wombat(0,1.0 m,0.64) x   95 | MC estimate 110
seed    95 | Wombat(0,1.0 m,0.64) x  252 | MC estimate  66
seed   149 | Wombat(0,1.0 m,0.64) x   41 | MC estimate 127
seed   119 | Wombat(0,1.0 m,0.64) x  250 | MC estimate  66
seed   168 | Wombat(0,1.0 m,0.64) x   65 | MC estimate 144
seed   221 | Wombat(0,1.0 m,0.64) x   28 | MC estimate 131
seed    71 | Wombat(0,1.0 m,0.64) x  239 | MC estimate  66
seed   209 | Wombat(0,1.0 m,0.64) x  247 | MC estimate  69
seed   113 | Wombat(0,1.0 m,0.64) x   10 | MC estimate 128
seed   125 | Wombat(0,1.0 m,0.64) x    2 | MC estimate 106
seed    83 | Wombat(0,1.0 m,0.64) x  242 | MC estimate  66
seed   161 | Wombat(0,1.0 m,0.64) x  139 | MC estimate 157
seed   131 | Wombat(0,1.0 m,0.64) x   54 | MC estimate 118
seed    47 | Wombat(0,1.0 m,0.64) x  238 | MC estimate  66
seed   185 | Wombat(0,1.0 m,0.64) x   14 | MC estimate 124
seed   143 | Wombat(0,1.0 m,0.64) x   30 | MC estimate 134
seed    59 | Wombat(0,1.0 m,0.64) x  245 | MC estimate  66
seed   215 | Wombat(0,1.0 m,0.64) x   94 | MC estimate 132
seed    34 | Wombat(0,1.0 m,0.64) x   23 | MC estimate 120
seed    64 | Wombat(0,1.0 m,0.64) x  253 | MC estimate  66
seed    52 | Wombat(0,1.0 m,0.64) x  244 | MC estimate  66
seed    40 | Wombat(0,1.0 m,0.64) x  254 | MC estimate  66
seed   107 | Wombat(0,1.0 m,0.64) x    2 | MC estimate 118
seed    88 | Wombat(0,1.0 m,0.64) x  251 | MC estimate  66
seed    76 | Wombat(0,1.0 m,0.64) x  261 | MC estimate  66
seed   148 | Wombat(0,1.0 m,0.64) x  271 | MC estimate  68
seed   179 | Wombat(0,1.0 m,0.64) x   35 | MC estimate 103
seed   118 | Wombat(0,1.0 m,0.64) x  247 | MC estimate  66
seed   167 | Wombat(0,1.0 m,0.64) x    8 | MC estimate 115
seed   220 | Wombat(0,1.0 m,0.64) x  225 | MC estimate 137
seed   196 | Wombat(0,1.0 m,0.64) x   25 | MC estimate 116
seed   208 | Wombat(0,1.0 m,0.64) x  256 | MC estimate  69
seed   124 | Wombat(0,1.0 m,0.64) x   16 | MC estimate 114
seed   112 | Wombat(0,1.0 m,0.64) x   29 | MC estimate 116
seed   160 | Wombat(0,1.0 m,0.64) x    7 | MC estimate 126
seed    70 | Wombat(0,1.0 m,0.64) x  163 | MC estimate 119
seed    94 | Wombat(0,1.0 m,0.64) x   83 | MC estimate 116
seed    82 | Wombat(0,1.0 m,0.64) x   11 | MC estimate 102
seed   130 | Wombat(0,1.0 m,0.64) x   34 | MC estimate 125
seed   191 | Wombat(0,1.0 m,0.64) x   40 | MC estimate 132
seed   101 | Wombat(0,1.0 m,0.64) x  213 | MC estimate 116
seed   203 | Wombat(0,1.0 m,0.64) x  197 | MC estimate 111
seed   155 | Wombat(0,1.0 m,0.64) x   25 | MC estimate 123
seed    46 | Wombat(0,1.0 m,0.64) x   43 | MC estimate 124
seed    58 | Wombat(0,1.0 m,0.64) x  266 | MC estimate  66
seed   184 | Wombat(0,1.0 m,0.64) x   13 | MC estimate 101
seed   214 | Wombat(0,1.0 m,0.64) x  260 | MC estimate  69
seed   136 | Wombat(0,1.0 m,0.64) x    6 | MC estimate 133
seed   172 | Wombat(0,1.0 m,0.64) x  219 | MC estimate 132
seed    63 | Wombat(0,1.0 m,0.64) x  255 | MC estimate  66
seed    51 | Wombat(0,1.0 m,0.64) x  252 | MC estimate  66
seed    39 | Wombat(0,1.0 m,0.64) x  250 | MC estimate  66
seed    87 | Wombat(0,1.0 m,0.64) x  250 | MC estimate  66
seed   106 | Wombat(0,1.0 m,0.64) x    6 | MC estimate 113
seed   142 | Wombat(0,1.0 m,0.64) x   92 | MC estimate 110
seed   147 | Wombat(0,1.0 m,0.64) x  261 | MC estimate  68
seed    75 | Wombat(0,1.0 m,0.64) x  246 | MC estimate  66
