Picked up JAVA_TOOL_OPTIONS: -Xmx2g
Opening log file:  /tmp/java.log.9890

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022b Update 2 (9.13.0.2105380) 64-bit (glnxa64)
                              October 26, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 32).
Loaded 932 seeds from grids/seeds/individual/y2013.mat
	scoring all of them using MC
	MCS total time 30.0 m + evolution total time 2.0 d = 2.0 d
	MCS runs 932 (1.0 m each) --> evolution runs 352 (4.0 h each)

seed     8 | Wombat(0,1.0 m,0.64) x  184 | MC estimate 106
seed    22 | Wombat(0,1.0 m,0.64) x  229 | MC estimate  71
seed    26 | Wombat(0,1.0 m,0.64) x  223 | MC estimate  71
seed    54 | Wombat(0,1.0 m,0.64) x  225 | MC estimate  71
seed    56 | Wombat(0,1.0 m,0.64) x  215 | MC estimate  71
seed    58 | Wombat(0,1.0 m,0.64) x  163 | MC estimate 141
seed    10 | Wombat(0,1.0 m,0.64) x    1 | MC estimate 114
seed    30 | Wombat(0,1.0 m,0.64) x    1 | MC estimate 113
seed    36 | Wombat(0,1.0 m,0.64) x    2 | MC estimate 139
seed     4 | Wombat(0,1.0 m,0.64) x    3 | MC estimate  90
seed    12 | Wombat(0,1.0 m,0.64) x    9 | MC estimate 107
seed    34 | Wombat(0,1.0 m,0.64) x    5 | MC estimate 132
seed     2 | Wombat(0,1.0 m,0.64) x    1 | MC estimate 115
seed    44 | Wombat(0,1.0 m,0.64) x   16 | MC estimate 107
seed    14 | Wombat(0,1.0 m,0.64) x    9 | MC estimate 125
seed    46 | Wombat(0,1.0 m,0.64) x   36 | MC estimate 126
seed    50 | Wombat(0,1.0 m,0.64) x   37 | MC estimate 119
seed     6 | Wombat(0,1.0 m,0.64) x   47 | MC estimate 118
seed    28 | Wombat(0,1.0 m,0.64) x   52 | MC estimate 110
seed    40 | Wombat(0,1.0 m,0.64) x   49 | MC estimate 137
seed    64 | Wombat(0,1.0 m,0.64) x   48 | MC estimate 123
seed    52 | Wombat(0,1.0 m,0.64) x  132 | MC estimate 119
seed    18 | Wombat(0,1.0 m,0.64) x   72 | MC estimate 104
seed    62 | Wombat(0,1.0 m,0.64) x   66 | MC estimate 131
seed    32 | Wombat(0,1.0 m,0.64) x   58 | MC estimate 134
seed    38 | Wombat(0,1.0 m,0.64) x    2 | MC estimate 130
seed    60 | Wombat(0,1.0 m,0.64) x   38 | MC estimate 141
seed    20 | Wombat(0,1.0 m,0.64) x   78 | MC estimate 134
seed    42 | Wombat(0,1.0 m,0.64) x  105 | MC estimate 129
seed    16 | Wombat(0,1.0 m,0.64) x  123 | MC estimate 114
seed    48 | Wombat(0,1.0 m,0.64) x  135 | MC estimate 117
seed    24 | Wombat(0,1.0 m,0.64) x   90 | MC estimate 121
seed    55 | Wombat(0,1.0 m,0.64) x  254 | MC estimate  71
seed     7 | Wombat(0,1.0 m,0.64) x  252 | MC estimate  70
seed    21 | Wombat(0,1.0 m,0.64) x  177 | MC estimate 117
seed    25 | Wombat(0,1.0 m,0.64) x    2 | MC estimate  96
seed    35 | Wombat(0,1.0 m,0.64) x    2 | MC estimate 133
seed     3 | Wombat(0,1.0 m,0.64) x    4 | MC estimate 111
seed    11 | Wombat(0,1.0 m,0.64) x   18 | MC estimate  98
seed    43 | Wombat(0,1.0 m,0.64) x    3 | MC estimate 124
seed    29 | Wombat(0,1.0 m,0.64) x   24 | MC estimate 120
seed    13 | Wombat(0,1.0 m,0.64) x    2 | MC estimate 133
seed    53 | Wombat(0,1.0 m,0.64) x   64 | MC estimate 133
seed     9 | Wombat(0,1.0 m,0.64) x    7 | MC estimate 137
seed     1 | Wombat(0,1.0 m,0.64) x   10 | MC estimate 114
seed    61 | Wombat(0,1.0 m,0.64) x   35 | MC estimate 130
seed    63 | Wombat(0,1.0 m,0.64) x   24 | MC estimate 152
seed    39 | Wombat(0,1.0 m,0.64) x    5 | MC estimate 142
seed    45 | Wombat(0,1.0 m,0.64) x   57 | MC estimate 128
seed    57 | Wombat(0,1.0 m,0.64) x  103 | MC estimate 142
seed    59 | Wombat(0,1.0 m,0.64) x  186 | MC estimate  72
seed    17 | Wombat(0,1.0 m,0.64) x   73 | MC estimate 106
seed    15 | Wombat(0,1.0 m,0.64) x  234 | MC estimate  70
seed    19 | Wombat(0,1.0 m,0.64) x    8 | MC estimate 149
seed    31 | Wombat(0,1.0 m,0.64) x   16 | MC estimate 117
seed    47 | Wombat(0,1.0 m,0.64) x    2 | MC estimate 112
seed    23 | Wombat(0,1.0 m,0.64) x  212 | MC estimate  71
seed    33 | Wombat(0,1.0 m,0.64) x   24 | MC estimate 144
seed    49 | Wombat(0,1.0 m,0.64) x  170 | MC estimate 120
seed   456 | Wombat(0,1.0 m,0.64) x  185 | MC estimate  74
seed   120 | Wombat(0,1.0 m,0.64) x    8 | MC estimate 129
seed   218 | Wombat(0,1.0 m,0.64) x  190 | MC estimate 137
seed   316 | Wombat(0,1.0 m,0.64) x  164 | MC estimate  73
seed    92 | Wombat(0,1.0 m,0.64) x  159 | MC estimate 133
seed   372 | Wombat(0,1.0 m,0.64) x  101 | MC estimate 144
seed    51 | Wombat(0,1.0 m,0.64) x  186 | MC estimate 124
seed     5 | Wombat(0,1.0 m,0.64) x  224 | MC estimate 128
seed    27 | Wombat(0,1.0 m,0.64) x  214 | MC estimate 100
seed   162 | Wombat(0,1.0 m,0.64) x  140 | MC estimate 135
seed    37 | Wombat(0,1.0 m,0.64) x   10 | MC estimate 136
seed   246 | Wombat(0,1.0 m,0.64) x   38 | MC estimate 145
seed   134 | Wombat(0,1.0 m,0.64) x   27 | MC estimate 122
seed   498 | Wombat(0,1.0 m,0.64) x  166 | MC estimate  74
seed   512 | Wombat(0,1.0 m,0.64) x   95 | MC estimate 135
seed   344 | Wombat(0,1.0 m,0.64) x    6 | MC estimate 120
seed   148 | Wombat(0,1.0 m,0.64) x   79 | MC estimate 119
seed   484 | Wombat(0,1.0 m,0.64) x  169 | MC estimate  74
seed    41 | Wombat(0,1.0 m,0.64) x   85 | MC estimate 133
seed   190 | Wombat(0,1.0 m,0.64) x  211 | MC estimate  72
seed    78 | Wombat(0,1.0 m,0.64) x   50 | MC estimate 136
seed   288 | Wombat(0,1.0 m,0.64) x  166 | MC estimate 140
seed   470 | Wombat(0,1.0 m,0.64) x  161 | MC estimate 130
seed   400 | Wombat(0,1.0 m,0.64) x  205 | MC estimate  74
seed   386 | Wombat(0,1.0 m,0.64) x   50 | MC estimate 136
seed   176 | Wombat(0,1.0 m,0.64) x   50 | MC estimate 114
seed   204 | Wombat(0,1.0 m,0.64) x   41 | MC estimate 112
seed   302 | Wombat(0,1.0 m,0.64) x   18 | MC estimate 125
seed   274 | Wombat(0,1.0 m,0.64) x  107 | MC estimate 124
seed   232 | Wombat(0,1.0 m,0.64) x   35 | MC estimate 131
seed   414 | Wombat(0,1.0 m,0.64) x  133 | MC estimate 138
seed   217 | Wombat(0,1.0 m,0.64) x  113 | MC estimate 130
seed   315 | Wombat(0,1.0 m,0.64) x  162 | MC estimate 137
seed    91 | Wombat(0,1.0 m,0.64) x   75 | MC estimate 130
seed   442 | Wombat(0,1.0 m,0.64) x  129 | MC estimate 131
seed   428 | Wombat(0,1.0 m,0.64) x  171 | MC estimate  74
seed   106 | Wombat(0,1.0 m,0.64) x  109 | MC estimate 116
seed   330 | Wombat(0,1.0 m,0.64) x    8 | MC estimate 125
seed   161 | Wombat(0,1.0 m,0.64) x  147 | MC estimate 139
seed   245 | Wombat(0,1.0 m,0.64) x    2 | MC estimate 128
seed   133 | Wombat(0,1.0 m,0.64) x  152 | MC estimate 132
seed   497 | Wombat(0,1.0 m,0.64) x  165 | MC estimate  74
seed   119 | Wombat(0,1.0 m,0.64) x    4 | MC estimate 136
seed   511 | Wombat(0,1.0 m,0.64) x  206 | MC estimate  87
seed   260 | Wombat(0,1.0 m,0.64) x   50 | MC estimate 125
seed   343 | Wombat(0,1.0 m,0.64) x  180 | MC estimate 122
seed   147 | Wombat(0,1.0 m,0.64) x   78 | MC estimate 128
seed   483 | Wombat(0,1.0 m,0.64) x  153 | MC estimate 125
seed   189 | Wombat(0,1.0 m,0.64) x  152 | MC estimate  72
seed   455 | Wombat(0,1.0 m,0.64) x  125 | MC estimate 138
seed    77 | Wombat(0,1.0 m,0.64) x  141 | MC estimate 140
seed   469 | Wombat(0,1.0 m,0.64) x  185 | MC estimate 120
seed   399 | Wombat(0,1.0 m,0.64) x  141 | MC estimate 126
seed   287 | Wombat(0,1.0 m,0.64) x  141 | MC estimate 142
seed   203 | Wombat(0,1.0 m,0.64) x  129 | MC estimate 121
seed   273 | Wombat(0,1.0 m,0.64) x  198 | MC estimate  73
seed   175 | Wombat(0,1.0 m,0.64) x    8 | MC estimate 145
seed   413 | Wombat(0,1.0 m,0.64) x  176 | MC estimate  74
seed   371 | Wombat(0,1.0 m,0.64) x   52 | MC estimate 133
seed   301 | Wombat(0,1.0 m,0.64) x   52 | MC estimate 124
seed   231 | Wombat(0,1.0 m,0.64) x   61 | MC estimate 137
seed   216 | Wombat(0,1.0 m,0.64) x  198 | MC estimate  72
seed   441 | Wombat(0,1.0 m,0.64) x   76 | MC estimate 145
seed   427 | Wombat(0,1.0 m,0.64) x  174 | MC estimate  74
seed    90 | Wombat(0,1.0 m,0.64) x   25 | MC estimate 141
seed   329 | Wombat(0,1.0 m,0.64) x  167 | MC estimate 125
seed   244 | Wombat(0,1.0 m,0.64) x   69 | MC estimate 142
seed   160 | Wombat(0,1.0 m,0.64) x   99 | MC estimate 136
seed   132 | Wombat(0,1.0 m,0.64) x  182 | MC estimate 127
seed   314 | Wombat(0,1.0 m,0.64) x   29 | MC estimate 130
seed   496 | Wombat(0,1.0 m,0.64) x  166 | MC estimate  74
seed   510 | Wombat(0,1.0 m,0.64) x  218 | MC estimate  74
seed   342 | Wombat(0,1.0 m,0.64) x  206 | MC estimate  73
seed   358 | Wombat(0,1.0 m,0.64) x  183 | MC estimate 130
seed   482 | Wombat(0,1.0 m,0.64) x  207 | MC estimate  74
seed   259 | Wombat(0,1.0 m,0.64) x   25 | MC estimate 109
seed   188 | Wombat(0,1.0 m,0.64) x  210 | MC estimate  72
seed   385 | Wombat(0,1.0 m,0.64) x  166 | MC estimate 122
seed   454 | Wombat(0,1.0 m,0.64) x  206 | MC estimate 135
seed    76 | Wombat(0,1.0 m,0.64) x  174 | MC estimate  72
seed   468 | Wombat(0,1.0 m,0.64) x  200 | MC estimate 119
seed   398 | Wombat(0,1.0 m,0.64) x  159 | MC estimate 149
seed   286 | Wombat(0,1.0 m,0.64) x    7 | MC estimate 120
seed   118 | Wombat(0,1.0 m,0.64) x   10 | MC estimate 144
seed   412 | Wombat(0,1.0 m,0.64) x  169 | MC estimate 137
seed   146 | Wombat(0,1.0 m,0.64) x  100 | MC estimate 108
